player_hands,dealer_faceup,useACE,winPro_stay,winPro_hit,winPro_doubledown,winPro_split
12,8,FALSE,0.22985581,0.292943361,0.317965024,0.3375
12,9,TRUE,0.318181818,0.333333333,0,0
12,9,FALSE,0.220724516,0.246088795,0.25,0.291044776
12,10,TRUE,0.130434783,0.371681416,0,0
12,10,FALSE,0.216148024,0.24432705,0.264084507,0.291005291
13,1,TRUE,0.122807018,0.346341463,0.263157895,0
13,1,FALSE,0.146341463,0.231635071,0.263788969,0
13,2,TRUE,0.306122449,0.443708609,0.405405405,0
13,2,FALSE,0.344170924,0.265256306,0.320668693,0
13,3,TRUE,0.426356589,0.520325203,0.398148148,0
13,3,FALSE,0.3980322,0.276198934,0.328467153,0
13,4,TRUE,0.373913043,0.461538462,0.336448598,0
13,4,FALSE,0.400572246,0.303691275,0.360759494,0
13,5,TRUE,0.407407407,0.454545455,0.287671233,0
13,5,FALSE,0.408391608,0.298456261,0.355907781,0
13,6,TRUE,0.384615385,0.519163763,0.342857143,0
13,6,FALSE,0.419681621,0.318247126,0.333333333,0
13,7,TRUE,0.25,0.465838509,0.382978723,0
13,7,FALSE,0.253456221,0.286072773,0.310077519,0
13,8,TRUE,0.241071429,0.437062937,0.269230769,0
13,8,FALSE,0.253324003,0.267522211,0.320175439,0
13,9,TRUE,0.209090909,0.387543253,0.233333333,0
13,9,FALSE,0.230898405,0.242826552,0.280130293,0
13,10,TRUE,0.2375,0.376178235,0.283737024,0
13,10,FALSE,0.23026455,0.238406728,0.270697674,0
14,1,TRUE,0.2,0.397058824,0.172413793,0
14,1,FALSE,0.157566303,0.218715996,0.236702128,0.289855072
14,2,TRUE,0.331034483,0.419117647,0.23943662,0
14,2,FALSE,0.349894737,0.245379877,0.294491525,0.384615385
14,3,TRUE,0.424836601,0.467741935,0.25974026,0
14,3,FALSE,0.368803419,0.243161094,0.263671875,0.323529412
14,4,TRUE,0.397727273,0.4092827,0.302325581,0
14,4,FALSE,0.393301435,0.265112263,0.310940499,0.291666667
14,5,TRUE,0.379844961,0.511254019,0.394230769,0
14,5,FALSE,0.4045,0.273809524,0.320866142,0.480620155
14,6,TRUE,0.46961326,0.511029412,0.309859155,0
14,6,FALSE,0.423301844,0.280442804,0.333992095,0.41509434
14,7,TRUE,0.154761905,0.435135135,0.333333333,0
14,7,FALSE,0.24907885,0.264150943,0.296849088,0.340659341
14,8,TRUE,0.234234234,0.391975309,0.238095238,0
14,8,FALSE,0.239146431,0.246319921,0.243346008,0.284810127
14,9,TRUE,0.235772358,0.385113269,0.204819277,0
14,9,FALSE,0.24127182,0.231392405,0.251473477,0.25
14,10,TRUE,0.251091703,0.34006462,0.208633094,0
14,10,FALSE,0.229035309,0.207790284,0.258933195,0.25
15,1,TRUE,0.169014085,0.342105263,0.25,0
15,1,FALSE,0.161904762,0.198445906,0.221590909,0
15,2,TRUE,0.389671362,0.415929204,0.226190476,0
15,2,FALSE,0.363485477,0.223768737,0.254273504,0
15,3,TRUE,0.311594203,0.457142857,0.185714286,0
15,3,FALSE,0.37994723,0.218715996,0.266037736,0
15,4,TRUE,0.383333333,0.472527473,0.189189189,0
15,4,FALSE,0.407051282,0.236111111,0.271966527,0
15,5,TRUE,0.407692308,0.518987342,0.287356322,0
15,5,FALSE,0.405405405,0.245119306,0.268145161,0
15,6,TRUE,0.438356164,0.479876161,0.32,0
15,6,FALSE,0.429635762,0.22756827,0.291821561,0
15,7,TRUE,0.254545455,0.458579882,0.38028169,0
15,7,FALSE,0.265870522,0.252105263,0.290145985,0
15,8,TRUE,0.246376812,0.392655367,0.158536585,0
15,8,FALSE,0.233284884,0.223759542,0.273972603,0
15,9,TRUE,0.227272727,0.378223496,0.184210526,0
15,9,FALSE,0.208438819,0.217590663,0.213307241,0
15,10,TRUE,0.19955157,0.324263039,0.181818182,0
15,10,FALSE,0.228798268,0.205224851,0.228254524,0
16,1,TRUE,0.125,0.344827586,0.266666667,0
16,1,FALSE,0.153923541,0.180534918,0.230769231,0.379746835
16,2,TRUE,0.293233083,0.450819672,0.246753247,0
16,2,FALSE,0.361247216,0.215946844,0.24537037,0.415929204
16,3,TRUE,0.347222222,0.450581395,0.171052632,0
16,3,FALSE,0.361560419,0.195601852,0.278372591,0.39
16,4,TRUE,0.401098901,0.45112782,0.26,0
16,4,FALSE,0.377840909,0.21653085,0.25255102,0.403061224
16,5,TRUE,0.396825397,0.493710692,0.197368421,0
16,5,FALSE,0.414913083,0.203438395,0.265151515,0.518348624
16,6,TRUE,0.411042945,0.50310559,0.25,0
16,6,FALSE,0.405913978,0.220125786,0.277777778,0.47752809
16,7,TRUE,0.302816901,0.397619048,0.295774648,0
16,7,FALSE,0.264929425,0.229287091,0.277056277,0.41509434
16,8,TRUE,0.258928571,0.406504065,0.192771084,0
16,8,FALSE,0.232044199,0.209686296,0.217118998,0.40942029
16,9,TRUE,0.173553719,0.393139842,0.290909091,0
16,9,FALSE,0.219706242,0.194396798,0.231132075,0.234177215
16,10,TRUE,0.258445946,0.329123915,0.189189189,0
