d_show,p_hand,p_1c,p_2c,p_2c_h,p_3c,p_3c_h,p_4c,p_4c_h,p_5c,p_5c_h,p_6c,p_6c_h,p_7c,p_7c_h,p_final_hand,d_final,d_hit,d_bust,p_initial,p_final,p_bust,p_win
6,"8,4",8,4,1,10,0,,0,,0,,0,,0,"8,4,10",10,0,0,12,22,1,0
K,"2,5",2,5,1,J,0,,0,,0,,0,,0,"2,5,J",26,1,1,7,17,0,1
9,"10,4",10,4,1,8,0,,0,,0,,0,,0,"10,4,8",16,0,0,14,22,1,0
8,"J,4",J,4,0,,0,,0,,0,,0,,0,"J,4",21,1,0,14,14,0,0
Q,"J,A",J,A,0,,0,,0,,0,,0,,0,"J,A",14,0,0,21,21,0,1
7,"3,7",3,7,1,8,0,,0,,0,,0,,0,"3,7,8",17,0,0,10,18,0,1
7,"A,5",A,5,1,6,1,A,1,K,0,,0,,0,"A,5,6,A,K",14,0,0,16,23,1,0
K,"Q,K",Q,K,0,,0,,0,,0,,0,,0,"Q,K",20,0,0,20,20,0,0
7,"5,9",5,9,1,3,0,,0,,0,,0,,0,"5,9,3",17,0,0,14,17,0,0
4,"J,6",J,6,0,,0,,0,,0,,0,,0,"J,6",20,1,0,16,16,0,0
9,"K,7",K,7,1,8,0,,0,,0,,0,,0,"K,7,8",13,0,0,17,25,1,0
Q,"A,8",A,8,0,,0,,0,,0,,0,,0,"A,8",20,0,0,19,19,0,0
A,"5,9",5,9,1,8,0,,0,,0,,0,,0,"5,9,8",20,0,0,14,22,1,0
10,"3,7",3,7,1,6,0,,0,,0,,0,,0,"3,7,6",20,0,0,10,16,0,0
9,"6,9",6,9,0,,0,,0,,0,,0,,0,"6,9",20,0,0,15,15,0,0
Q,"9,A",9,A,0,,0,,0,,0,,0,,0,"9,A",17,0,0,20,20,0,1
10,"10,K",10,K,0,,0,,0,,0,,0,,0,"10,K",17,0,0,20,20,0,1
6,"8,10",8,10,1,5,0,,0,,0,,0,,0,"8,10,5",16,0,0,18,23,1,0
7,"9,Q",9,Q,0,,0,,0,,0,,0,,0,"9,Q",17,0,0,19,19,0,1
3,"Q,Q",Q,Q,0,,0,,0,,0,,0,,0,"Q,Q",17,1,0,20,20,0,1
2,"J,8",J,8,0,,0,,0,,0,,0,,0,"J,8",22,1,1,18,18,0,1
2,"Q,10",Q,10,0,,0,,0,,0,,0,,0,"Q,10",23,1,1,20,20,0,1
J,"2,3",2,3,1,10,1,7,0,,0,,0,,0,"2,3,10,7",20,0,0,5,22,1,0
9,"2,3",2,3,1,Q,1,2,1,8,0,,0,,0,"2,3,Q,2,8",19,0,0,5,25,1,0
9,"10,9",10,9,0,,0,,0,,0,,0,,0,"10,9",18,1,0,19,19,0,1
8,"6,6",6,6,0,,0,,0,,0,,0,,0,"6,6",18,1,0,12,12,0,0
J,"4,J",4,J,1,A,0,,0,,0,,0,,0,"4,J,A",20,0,0,14,15,0,0
K,"4,J",4,J,0,,0,,0,,0,,0,,0,"4,J",20,0,0,14,14,0,0
4,"6,3",6,3,1,5,0,,0,,0,,0,,0,"6,3,5",18,1,0,9,14,0,0
K,"10,6",10,6,1,9,0,,0,,0,,0,,0,"10,6,9",20,0,0,16,25,1,0
10,"J,2",J,2,0,,0,,0,,0,,0,,0,"J,2",21,1,0,12,12,0,0
J,"K,A",K,A,0,,0,,0,,0,,0,,0,"K,A",20,0,0,21,21,0,1
6,"3,7",3,7,1,K,0,,0,,0,,0,,0,"3,7,K",22,1,1,10,20,0,1
3,"K,5",K,5,0,,0,,0,,0,,0,,0,"K,5",22,1,1,15,15,0,1
5,"5,K",5,K,1,K,0,,0,,0,,0,,0,"5,K,K",15,0,0,15,25,1,0
2,"2,A",2,A,0,,0,,0,,0,,0,,0,"2,A",26,1,1,13,13,0,1
J,"A,6",A,6,1,2,0,,0,,0,,0,,0,"A,6,2",26,1,1,17,19,0,1
9,"7,J",7,J,0,,0,,0,,0,,0,,0,"7,J",19,0,0,17,17,0,0
3,"3,6",3,6,1,3,1,A,1,5,0,,0,,0,"3,6,3,A,5",22,1,1,9,18,0,1
2,"Q,7",Q,7,0,,0,,0,,0,,0,,0,"Q,7",19,1,0,17,17,0,0
8,"A,Q",A,Q,0,,0,,0,,0,,0,,0,"A,Q",17,0,0,21,21,0,1
8,"Q,J",Q,J,0,,0,,0,,0,,0,,0,"Q,J",23,1,1,20,20,0,1
7,"J,4",J,4,1,7,0,,0,,0,,0,,0,"J,4,7",17,0,0,14,21,0,1
8,"7,5",7,5,1,4,0,,0,,0,,0,,0,"7,5,4",20,1,0,12,16,0,0
4,"5,J",5,J,1,J,0,,0,,0,,0,,0,"5,J,J",7,0,0,15,25,1,0
6,"4,7",4,7,1,K,0,,0,,0,,0,,0,"4,7,K",17,0,0,11,21,0,1
5,"4,2",4,2,1,7,1,5,0,,0,,0,,0,"4,2,7,5",17,1,0,6,18,0,1
